iter	Passed	Remaining
451	1082	1312
452	1090	1316
453	1092	1313
454	1094	1310
455	1095	1307
456	1097	1304
457	1099	1300
458	1103	1300
459	1105	1297
460	1107	1295
461	1109	1292
462	1113	1291
463	1118	1291
464	1120	1289
465	1122	1286
466	1124	1283
467	1126	1280
468	1128	1277
469	1129	1274
470	1135	1275
471	1137	1272
472	1139	1269
473	1141	1266
474	1145	1266
475	1152	1268
476	1154	1265
477	1155	1261
478	1157	1258
479	1158	1255
480	1160	1251
481	1162	1249
482	1165	1247
483	1167	1244
484	1169	1241
485	1170	1238
486	1172	1235
487	1174	1232
488	1177	1230
489	1180	1229
490	1183	1227
491	1185	1224
492	1186	1220
493	1188	1217
494	1189	1213
495	1191	1210
496	1192	1207
497	1194	1204
498	1196	1201
499	1198	1198
500	1200	1195
501	1201	1192
502	1203	1188
503	1205	1186
504	1208	1184
505	1211	1182
506	1214	1180
507	1216	1178
508	1218	1175
509	1220	1172
510	1221	1169
511	1223	1166
512	1228	1166
513	1238	1170
514	1241	1169
515	1245	1168
516	1249	1167
517	1251	1164
518	1254	1162
519	1256	1159
520	1261	1159
521	1263	1157
522	1266	1155
523	1281	1163
524	1285	1163
525	1290	1163
526	1295	1162
527	1300	1162
528	1307	1163
529	1309	1161
530	1311	1158
531	1313	1155
532	1315	1152
533	1316	1149
534	1318	1146
535	1320	1142
536	1324	1141
537	1325	1138
538	1327	1135
539	1329	1132
540	1334	1132
541	1339	1131
542	1343	1130
543	1345	1127
544	1347	1124
545	1349	1122
546	1353	1120
547	1355	1118
548	1357	1115
549	1359	1112
550	1362	1109
551	1365	1108
552	1373	1109
553	1374	1106
554	1376	1103
555	1378	1101
556	1380	1098
557	1382	1095
558	1385	1093
559	1388	1091
560	1391	1088
561	1409	1098
562	1420	1102
563	1534	1186
564	1538	1184
565	1539	1180
566	1541	1177
567	1543	1173
568	1561	1182
569	1565	1181
570	1568	1178
571	1570	1175
572	1571	1171
573	1574	1168
574	1608	1188
575	1615	1188
576	1620	1187
577	1636	1194
578	1640	1192
579	1646	1191
580	1647	1188
581	1650	1185
582	1653	1182
583	1655	1179
584	1659	1177
585	1663	1175
586	1666	1172
587	1671	1170
588	1672	1167
589	1675	1164
590	1678	1161
591	1680	1158
592	1683	1155
593	1685	1151
594	1712	1165
595	1716	1163
596	1718	1159
597	1721	1157
598	1728	1157
599	1731	1154
600	1733	1150
601	1735	1147
602	1736	1143
603	1738	1139
604	1742	1137
605	1744	1134
606	1746	1130
607	1748	1127
608	1751	1124
609	1753	1121
610	1756	1118
611	1760	1116
612	1761	1112
613	1763	1108
614	1765	1105
615	1766	1101
616	1768	1097
617	1769	1093
618	1773	1091
619	1774	1087
620	1776	1084
621	1777	1080
622	1779	1076
623	1781	1073
624	1783	1070
625	1785	1066
626	1788	1063
627	1790	1060
628	1791	1056
629	1793	1053
630	1794	1049
631	1796	1045
632	1797	1042
633	1799	1038
634	1800	1035
635	1803	1032
636	1805	1028
637	1806	1025
638	1808	1021
639	1810	1018
640	1811	1014
641	1813	1011
642	1816	1008
643	1819	1005
644	1821	1002
645	1823	999
646	1824	995
647	1826	992
648	1828	988
649	1829	985
650	1831	981
651	1833	978
652	1835	975
653	1837	972
654	1838	968
655	1840	965
656	1842	961
657	1844	958
658	1847	955
659	1852	954
660	1853	950
661	1855	947
662	1857	943
663	1858	940
664	1860	937
665	1862	934
666	1865	931
667	1867	927
668	1868	924
669	1870	921
670	1874	918
671	1876	916
672	1878	912
673	1882	910
674	1884	907
675	1886	903
676	1887	900
677	1889	897
678	1890	893
679	1892	890
680	1894	887
681	1896	884
682	1898	881
683	1900	877
684	1902	874
685	1903	871
686	1905	868
687	1909	865
688	1913	863
689	1915	860
690	1916	857
691	1918	853
692	1919	850
693	1921	847
694	1922	843
695	1924	840
696	1925	837
697	1928	834
698	1929	830
699	1931	827
700	1933	824
701	1935	821
702	1937	818
703	1940	815
704	1943	813
705	1946	810
706	1948	807
707	1949	804
708	1951	800
709	1952	797
710	1954	794
711	1955	791
712	1957	787
713	1959	784
714	1961	781
715	1962	778
716	1964	775
717	1965	772
718	1967	768
719	1969	765
720	1971	762
721	1974	760
722	1976	757
723	1978	754
724	1979	751
725	1981	747
726	1983	744
727	1984	741
728	1985	738
729	1987	735
730	1989	732
731	1991	729
732	1993	726
733	1995	723
734	1997	720
735	1999	717
736	2001	714
737	2003	711
738	2006	708
739	2008	705
740	2010	702
741	2011	699
742	2012	696
743	2014	693
744	2015	689
745	2016	686
746	2018	683
747	2019	680
748	2022	677
749	2023	674
750	2025	671
751	2026	668
752	2028	665
753	2029	662
754	2031	659
755	2033	656
756	2035	653
757	2038	650
758	2040	647
759	2041	644
760	2042	641
761	2044	638
762	2045	635
763	2047	632
764	2048	629
765	2050	626
766	2052	623
767	2054	620
768	2055	617
769	2057	614
770	2058	611
771	2060	608
772	2061	605
773	2063	602
774	2066	599
775	2069	597
776	2071	594
777	2072	591
778	2074	588
779	2075	585
780	2077	582
781	2078	579
782	2079	576
783	2081	573
784	2082	570
785	2085	567
786	2087	564
787	2088	561
788	2090	558
789	2091	556
790	2094	553
791	2097	550
792	2100	548
793	2102	545
794	2103	542
795	2105	539
796	2106	536
797	2108	533
798	2109	530
799	2110	527
800	2112	524
801	2114	522
802	2116	519
803	2117	516
804	2119	513
805	2120	510
806	2122	507
807	2124	504
808	2126	502
809	2128	499
810	2131	496
811	2133	494
812	2135	491
813	2136	488
814	2137	485
815	2139	482
816	2140	479
817	2142	476
818	2143	473
819	2146	471
820	2147	468
821	2149	465
822	2150	462
823	2152	459
824	2153	456
825	2155	454
826	2157	451
827	2159	448
828	2162	446
829	2164	443
830	2165	440
831	2167	437
832	2168	434
833	2170	431
834	2171	429
835	2173	426
836	2174	423
837	2176	420
838	2178	418
839	2180	415
840	2181	412
841	2183	409
842	2184	406
843	2186	404
844	2190	401
845	2193	399
846	2195	396
847	2196	393
848	2198	391
849	2200	388
850	2201	385
851	2203	382
852	2204	379
853	2206	377
854	2207	374
855	2210	371
856	2211	369
857	2213	366
858	2214	363
859	2216	360
860	2217	358
861	2220	355
862	2222	352
863	2226	350
864	2228	347
865	2230	345
866	2231	342
867	2232	339
868	2234	336
869	2235	334
870	2237	331
871	2238	328
872	2240	325
873	2242	323
874	2243	320
875	2245	317
876	2246	315
877	2248	312
878	2249	309
879	2252	307
880	2254	304
881	2256	301
882	2258	299
883	2260	296
884	2261	293
885	2263	291
886	2264	288
887	2265	285
888	2267	283
889	2268	280
890	2270	277
891	2272	275
892	2274	272
893	2275	269
894	2277	267
895	2278	264
896	2279	261
897	2281	259
898	2284	256
899	2287	254
900	2289	251
901	2291	248
902	2292	246
903	2294	243
904	2295	240
905	2296	238
906	2298	235
907	2300	233
908	2302	230
909	2304	227
910	2306	225
911	2307	222
912	2309	220
913	2311	217
914	2315	215
915	2319	212
916	2322	210
917	2323	207
918	2325	204
919	2327	202
920	2329	199
921	2330	197
922	2333	194
923	2335	192
924	2336	189
925	2338	186
926	2340	184
927	2342	181
928	2344	179
929	2349	176
930	2352	174
931	2354	171
932	2355	169
933	2357	166
934	2358	163
935	2360	161
936	2361	158
937	2363	156
938	2366	153
939	2368	151
940	2371	148
941	2372	146
942	2374	143
943	2377	141
944	2381	138
945	2383	136
946	2385	133
947	2386	130
948	2387	128
949	2389	125
950	2391	123
951	2392	120
952	2394	118
953	2397	115
954	2399	113
955	2400	110
956	2402	107
957	2403	105
958	2405	102
959	2407	100
960	2410	97
961	2412	95
962	2415	92
963	2416	90
964	2417	87
965	2419	85
966	2420	82
967	2422	80
968	2423	77
969	2424	74
970	2427	72
971	2429	69
972	2430	67
973	2432	64
974	2433	62
975	2435	59
976	2436	57
977	2439	54
978	2441	52
979	2444	49
980	2445	47
981	2447	44
982	2448	42
983	2450	39
984	2451	37
985	2453	34
986	2454	32
987	2456	29
988	2458	27
989	2460	24
990	2461	22
991	2463	19
992	2464	17
993	2466	14
994	2467	12
995	2471	9
996	2473	7
997	2475	4
998	2477	2
999	2478	0
