iter	RMSE
172	0.6823521802
173	0.6811060184
174	0.67975635
175	0.6791201785
176	0.6774516049
177	0.6766131041
178	0.675448654
179	0.6737215935
180	0.6723691269
181	0.6717147239
182	0.6698018762
183	0.6690250361
184	0.668096518
185	0.6670890241
186	0.666090342
187	0.6638964954
188	0.6623763052
189	0.6609912156
190	0.6581363109
191	0.6568999332
192	0.6551862941
193	0.6537978437
194	0.6526775874
195	0.6515326355
196	0.6500645153
197	0.6475881892
198	0.6461519288
199	0.6452979272
200	0.6442884868
201	0.6437080929
202	0.6425551609
203	0.6413478201
204	0.6402291078
205	0.6393530727
206	0.6375649221
207	0.6355090039
208	0.6336849513
209	0.6326418009
210	0.6318273804
211	0.6311038607
212	0.6300599156
213	0.6281130997
214	0.6272463031
215	0.6262094961
216	0.6254155639
217	0.6249345434
218	0.6242828591
219	0.6230962786
220	0.6222277398
221	0.6211097163
222	0.6193575368
223	0.6176748479
224	0.6162796956
225	0.6155796783
226	0.6150752819
227	0.6134422518
228	0.6119099503
229	0.611208874
230	0.6101395586
231	0.6089888843
232	0.6078642525
233	0.6067505242
234	0.6063257933
235	0.6052909335
236	0.6045205358
237	0.603619659
238	0.6026807719
239	0.6015027724
240	0.6003907208
241	0.5993974696
242	0.5990267183
243	0.5978949271
244	0.5969305231
245	0.596002417
246	0.5951359347
247	0.5940935831
248	0.5931008434
249	0.591291147
250	0.5898485211
251	0.5888904255
252	0.5883536866
253	0.5871469421
254	0.5857931763
255	0.5840031268
256	0.5835619789
257	0.5828414785
258	0.5813088268
259	0.580673743
260	0.5792436677
261	0.577666553
262	0.5766301211
263	0.5756904547
264	0.5750584216
265	0.5740875608
266	0.5724762425
267	0.5719370758
268	0.5706473648
269	0.5697535132
270	0.5685755296
271	0.5678275197
272	0.5666562927
273	0.5659257697
274	0.5650195995
275	0.5636464748
276	0.5628288661
277	0.5612898006
278	0.5606734625
279	0.5601446062
280	0.559134741
281	0.5580564188
282	0.5567020326
283	0.5560980772
284	0.5556569841
285	0.5548685552
286	0.5540124784
287	0.5528681015
288	0.5522367162
289	0.5512916488
290	0.5503084982
291	0.5493670588
292	0.5486316616
293	0.5474857103
294	0.546015052
295	0.5447348429
296	0.543969006
297	0.5426309925
298	0.5416159777
299	0.540569563
300	0.5398576006
301	0.5387448522
302	0.5380477047
303	0.5370725836
304	0.536284297
305	0.535739813
306	0.5347844073
307	0.5341535262
308	0.5334004712
309	0.5328745123
310	0.5321450047
311	0.531137678
312	0.5307736951
313	0.5293629088
314	0.5282855087
315	0.5277342547
316	0.5269405174
317	0.5258537874
318	0.52525945
319	0.524320187
320	0.5236002545
321	0.5227884595
322	0.522057229
323	0.5213524288
324	0.5208364061
325	0.5200344345
326	0.5192667841
327	0.5181591772
328	0.5175615463
329	0.5165770467
330	0.5153669126
331	0.5148250873
332	0.5143331162
333	0.5135921972
334	0.513068638
335	0.5123293023
336	0.5113659043
337	0.5109135079
338	0.5099770771
339	0.5093170655
340	0.5087674048
341	0.5082455059
342	0.5072446899
343	0.5065377362
344	0.5057332203
345	0.504898046
346	0.5043676608
347	0.5030109515
348	0.5016054059
349	0.5011034846
350	0.5004011946
351	0.4994030564
352	0.4982705509
353	0.4971550977
354	0.4966144877
355	0.4960885426
356	0.4957686764
357	0.4951619286
358	0.4941794792
359	0.4933661828
360	0.4924771685
361	0.4914893337
362	0.4910986834
363	0.490393978
364	0.4900712477
365	0.4889220641
366	0.4884711196
367	0.4880026379
368	0.4876250595
369	0.4872339095
370	0.486981179
371	0.4865807691
372	0.4859200321
373	0.4847103777
374	0.4842126103
375	0.4837068369
376	0.4831280337
377	0.4822736983
378	0.4820032335
379	0.4813072137
380	0.4807414267
381	0.480123396
382	0.4791876756
383	0.4783256224
384	0.4771570238
385	0.4763784102
386	0.4758699917
387	0.4751788776
388	0.4745122238
389	0.4739977412
390	0.4732773743
391	0.472686925
392	0.4720908466
393	0.4716734136
394	0.4707858306
395	0.4703657416
396	0.4697212128
397	0.4693598787
398	0.469073743
399	0.4685864448
400	0.4681831279
401	0.4675019999
402	0.4668273478
403	0.4665797516
404	0.4657999351
405	0.4653013406
406	0.4650077007
407	0.4647088897
408	0.4636945371
409	0.4631920568
410	0.4627594916
411	0.4621083193
412	0.4617619646
413	0.4611979419
414	0.4605111401
415	0.4595685752
416	0.4590590585
417	0.4585085746
418	0.4579422575
419	0.4575075236
420	0.4572012193
421	0.4567154691
422	0.4558013287
423	0.4553589452
424	0.4550685859
425	0.4542694217
426	0.453997778
427	0.4534383746
428	0.452997085
429	0.4523358323
430	0.4520640506
431	0.451860763
432	0.4507865753
433	0.4501877752
434	0.4497735387
435	0.4492700104
436	0.4487213355
437	0.4481027459
438	0.4476867208
439	0.4466991171
440	0.4460985879
441	0.4455442145
442	0.4448822988
443	0.4445948023
444	0.4436530664
445	0.4429426793
446	0.4424216641
447	0.4420514558
448	0.4418095214
449	0.441130743
450	0.4407586925
451	0.4403826372
452	0.439812687
453	0.439277377
454	0.4386081824
455	0.4382648325
456	0.4377464617
457	0.4367947572
458	0.4361896816
459	0.4357852397
460	0.4352490951
461	0.4349848721
462	0.4341536632
463	0.4335869729
464	0.4329766272
465	0.432797017
466	0.4316404794
467	0.4313162111
468	0.4305876032
469	0.4303011604
470	0.4300701202
471	0.4298218673
472	0.4292633296
473	0.4281767362
474	0.4275010762
475	0.4271953481
476	0.4268110743
477	0.4264588218
478	0.4261109077
479	0.4258395341
480	0.4256278672
481	0.4250686878
482	0.424494505
483	0.4241830649
484	0.4236039045
485	0.4231401182
486	0.422665497
487	0.4221529644
488	0.4216709456
489	0.4213021049
490	0.4210165887
491	0.4205209447
492	0.4198457113
493	0.4193664399
494	0.4189719167
495	0.418458321
496	0.4178693867
497	0.4171333851
498	0.4165713798
499	0.4161725826
500	0.4158844782
501	0.4155704743
502	0.4152176679
503	0.4148557191
504	0.4142591724
505	0.4138430872
506	0.4135592035
507	0.4130412464
508	0.4126070044
509	0.4122088696
510	0.4118073774
511	0.4115964158
512	0.4112050472
513	0.4104667841
514	0.4102907766
515	0.4100828932
516	0.4097324884
517	0.4091697356
518	0.4088335156
519	0.4081599911
520	0.4077102831
521	0.407503633
522	0.4072084067
523	0.4067675942
524	0.4060994601
525	0.4055843664
526	0.405184447
527	0.4047150785
528	0.4045218952
529	0.4038071877
530	0.4035159528
531	0.4031542148
532	0.4028258829
533	0.4024927249
534	0.401848874
535	0.401292957
536	0.4008570667
537	0.4001896921
538	0.3999150592
539	0.3994749305
540	0.3991753603
541	0.3986907429
542	0.398399444
543	0.3981951701
544	0.3980044541
545	0.3974740776
546	0.3972064203
547	0.3967421876
548	0.396129233
549	0.395894514
550	0.3957709968
551	0.3954150322
552	0.3948460501
553	0.3945690658
554	0.3937589185
555	0.3934918339
556	0.3932463312
557	0.3926981242
558	0.3923443719
559	0.3918937219
560	0.3910505183
561	0.3908355623
562	0.3904822516
563	0.3901430647
564	0.389841125
565	0.3894873081
566	0.3892840163
567	0.3890602013
568	0.3884227087
569	0.387802008
570	0.3874079395
571	0.3869300836
572	0.3866070204
573	0.3859858486
574	0.3856247262
575	0.385353389
576	0.3850537891
577	0.3846936867
578	0.3844912971
579	0.3841398445
580	0.3838053938
581	0.3833324582
582	0.3823308779
583	0.3821319648
584	0.3814837825
585	0.3808588389
586	0.3804838155
587	0.3801203401
588	0.3797505172
589	0.3790897692
590	0.3789262468
591	0.3787021387
592	0.3779035585
593	0.3775152938
594	0.3772844907
595	0.3767950644
596	0.376676521
597	0.3765437827
598	0.3761384576
599	0.3760271107
600	0.3757578826
601	0.3755348149
602	0.3753660979
603	0.3745156397
604	0.3744069665
605	0.3738749383
606	0.3736823222
607	0.3733023294
608	0.3729567596
609	0.3728054964
610	0.3723905343
611	0.3721162402
612	0.3718485642
613	0.3716450164
614	0.3714029968
615	0.3712545163
616	0.3710031512
617	0.3707440081
618	0.3699993233
619	0.3695846657
620	0.3692135173
621	0.3689496787
622	0.3686822999
623	0.3683420309
624	0.3679767273
625	0.367586134
626	0.3673791319
627	0.3669676507
628	0.366604681
629	0.366274728
630	0.3659240494
631	0.3655343623
632	0.3651624451
633	0.3649809059
634	0.3646421386
635	0.3643343976
636	0.3641005544
637	0.36381292
638	0.3634082086
639	0.3626934283
640	0.3623213631
641	0.3620197644
642	0.3616878373
643	0.3614891569
644	0.3612127241
645	0.3607830663
646	0.360407922
647	0.3600629129
648	0.3598543019
649	0.3594315136
650	0.3588157965
651	0.3585492436
652	0.3582434096
653	0.358090006
654	0.3578886778
655	0.3577047087
656	0.3574328254
657	0.3569976541
658	0.3565119593
659	0.3563612187
660	0.3561286914
661	0.3559886031
662	0.3555794431
663	0.3552748016
664	0.3548546351
665	0.3547031802
666	0.3543350294
667	0.3538928771
668	0.3533853698
669	0.3530524274
670	0.3527522236
671	0.3523241556
672	0.3520271095
673	0.3517706697
674	0.3514685836
675	0.3512126309
676	0.3508077545
677	0.3505223851
678	0.3502902832
679	0.3499908157
680	0.3497378961
681	0.3495823293
682	0.349159977
683	0.3489039666
684	0.3486786267
685	0.3483775292
686	0.3482475241
687	0.347788172
688	0.3476491304
689	0.3472674597
690	0.3470252412
691	0.346598203
692	0.3461450207
693	0.3457484894
694	0.3456180494
695	0.3453556199
696	0.3450571257
697	0.3446720672
698	0.3444173365
699	0.3441342806
700	0.3438272819
701	0.3434035351
702	0.3432954038
703	0.3428272814
704	0.3425963526
705	0.3424487497
706	0.3418484812
707	0.3415872153
708	0.3414588253
709	0.3410423896
710	0.3407390683
711	0.3404664337
712	0.3401190018
713	0.3398707907
714	0.3397154638
715	0.3394123384
716	0.3390491603
717	0.3388259899
718	0.3386042502
719	0.3383570165
720	0.3380631416
721	0.3378032328
722	0.3374760498
723	0.3369778451
724	0.3366444515
725	0.3362805783
726	0.3360333421
727	0.3358440751
728	0.3355634284
729	0.3353701742
730	0.3350540945
731	0.3347752683
732	0.3344443405
733	0.3339966648
734	0.3336433437
735	0.3334010431
736	0.3331470411
737	0.332753475
738	0.3323193616
739	0.3318894331
740	0.3317534895
741	0.3314429136
742	0.3312656732
743	0.3310862216
744	0.330793023
745	0.3306475974
746	0.3305050665
747	0.3303811558
748	0.3301777586
749	0.3299314845
750	0.3296496828
751	0.3294278023
752	0.3291121236
753	0.3288828468
754	0.3286240547
755	0.3281012224
756	0.3278655048
757	0.3275684467
758	0.3272539431
759	0.3269393287
760	0.3266698037
761	0.3264350578
762	0.3260966153
763	0.3260201288
764	0.3257608634
765	0.3256556392
766	0.3254618957
767	0.3252481214
768	0.3249618307
769	0.3248072631
770	0.3244805064
771	0.3242556199
772	0.3237579175
773	0.3235999448
774	0.3232339583
775	0.3229304185
776	0.3226277477
777	0.3224570009
778	0.3222520354
779	0.3221996312
780	0.3219616248
781	0.3216157318
782	0.321389419
783	0.3211238138
784	0.3208476409
785	0.320647827
786	0.3205198789
787	0.3202319043
788	0.3200543952
789	0.3198368125
790	0.3195652355
791	0.3194929146
792	0.3194150521
793	0.3191300388
794	0.3189130401
795	0.3187054068
796	0.3185585323
797	0.3182461112
798	0.3179713149
799	0.31782097
800	0.3175985682
801	0.3173550189
802	0.3171554839
803	0.3168904272
804	0.3165961617
805	0.3165079868
806	0.3162081742
807	0.3159630333
808	0.3156860366
809	0.3154549004
810	0.3152159613
811	0.3148652779
812	0.3145434081
813	0.3142618753
814	0.3140004283
815	0.3137808272
816	0.313522299
817	0.3132801299
818	0.3131589023
819	0.3129603599
820	0.3128392841
821	0.3124946981
822	0.3123553349
823	0.3121674962
824	0.3117616108
825	0.3115499463
826	0.3112844175
827	0.3111107009
828	0.3109918711
829	0.3108387094
830	0.3107257347
831	0.3105261116
832	0.3102288563
833	0.3100978058
834	0.3096535724
835	0.3094009395
836	0.3091780486
837	0.3089194666
838	0.3088365051
839	0.3086397299
840	0.3084697308
841	0.308303304
842	0.3080862659
843	0.3078974147
844	0.3076331444
845	0.3072699432
846	0.3069971012
847	0.3068725571
848	0.3066272004
849	0.3064195675
850	0.3059660308
851	0.3058325542
852	0.3056345496
853	0.3054938852
854	0.3053176384
855	0.3050246871
856	0.3048323042
857	0.304674602
858	0.304500948
859	0.3040547966
860	0.3038391684
861	0.3036996294
862	0.3035828594
863	0.3033003796
864	0.3031400804
865	0.3027825445
866	0.3026889931
867	0.3024226987
868	0.3021754394
869	0.3019782243
870	0.301696021
871	0.3015545739
872	0.3014410304
873	0.3013621206
874	0.3011542869
875	0.3009214703
876	0.3007002611
877	0.3005434378
878	0.3004262816
879	0.2998681403
880	0.299601128
881	0.2994606416
882	0.2991891166
883	0.2989929316
884	0.2988281521
885	0.2986945563
886	0.2986002834
887	0.298399675
888	0.2982480635
889	0.2979905525
890	0.2977180386
891	0.297478414
892	0.297274839
893	0.2970051087
894	0.2968686078
895	0.2966835879
896	0.2965154437
897	0.296299101
898	0.2959369257
899	0.2957286462
900	0.2955493718
901	0.2954534236
902	0.2952134296
903	0.2948830239
904	0.2947173153
905	0.2946356485
906	0.2945098362
907	0.2942483637
908	0.294037513
909	0.2937045756
910	0.2936233479
911	0.2934271296
912	0.2932028891
913	0.2930570297
914	0.2928188285
915	0.2924621554
916	0.2922456545
917	0.2919561791
918	0.2918578729
919	0.2917386212
920	0.2916257674
921	0.2914526158
922	0.2912931695
923	0.2911240312
924	0.2909756865
925	0.2908336939
926	0.2907280069
927	0.2905612063
928	0.2903196877
929	0.2900224613
930	0.2898020083
931	0.2896159986
932	0.2892691902
933	0.2892590363
934	0.2891980343
935	0.28906328
936	0.288895981
937	0.2888486924
938	0.2884574619
939	0.2883195222
940	0.2881454464
941	0.2880293182
942	0.2877544746
943	0.2877102001
944	0.2875292409
945	0.287386645
946	0.2872942426
947	0.2870812747
948	0.2867635318
949	0.2866381509
950	0.286289297
951	0.2860678516
952	0.2857507519
953	0.2856725148
954	0.285602396
955	0.2854648723
956	0.2853159105
957	0.2850501568
958	0.2849742646
959	0.2848235431
960	0.2845898232
961	0.2845435631
962	0.284330481
963	0.2841768727
964	0.2840110184
965	0.2840067208
966	0.2838169128
967	0.2836637761
968	0.2835849376
969	0.2833193459
970	0.2831664709
971	0.2830625183
972	0.282860586
973	0.2827361312
974	0.2824450145
975	0.2822005497
976	0.2820087026
977	0.281827616
978	0.2816363654
979	0.2815444773
980	0.2814824652
981	0.2813202698
982	0.2812501206
983	0.2810608829
984	0.2809634019
985	0.280830179
986	0.2807040246
987	0.280592299
988	0.2804399947
989	0.2802773194
990	0.2801613527
991	0.2801188471
992	0.2800168086
993	0.2797885984
994	0.2795041437
995	0.2793558037
996	0.2792273528
997	0.2790420269
998	0.2789227378
999	0.2786291
